,School Name,School Size,Town Name,Postal Code,Applied EQAO Grades,Academic EQAO Grades,,,0.45542153,0.804139715
294,Richview CI,963,Etobicoke,M9A 3N2,0.45,0.86,,,,
295,Riverdale CI,"1,184",Toronto,M4M 2A1,0.44,0.89,,,,
296,Parkview Alternative School,74,Scarborough,M1R 2L2,,,,,,
297,Runnymede CI,617,Toronto,M6S 4A3,0.19,0.6,,,,
298,Scarborough Centre for Alternative,373,Scarborough,M1K 4C9,,,,,,
299,Scarlett Heights Entrepreneurial,,Toronto,M9P 1N8,0.15,0.1,,,,
300,School of Experiential Education,72,Toronto,M9P 3M7,,,,,,
301,School of Life Experience,126,Toronto,M4J 1G6,,,,,,
302,Silverthorn CI,919,Etobicoke,M9C 1Y5,0.2,0.79,,,,
303,Sir John A Macdonald CI,"1,107",Agincourt,M1W 1H8,0.4,0.83,,,,
304,Sir Oliver Mowat CI,"1,099",West Hill,M1C 2C6,0.22,0.77,,,,
305,Sir Robert L Borden B &amp; TI,,Scarborough,M1E 1Z7,,,,,,
306,Sir Wilfrid Laurier CI,"1,357",Scarborough,M1E 1P5,0.2,0.79,,,,
307,Sir William Osler HS,221,Agincourt,M1S 3H5,,,,,,
308,Greenwood SS,212,Toronto,M4J 4B7,0.35,0.73,,,,
309,St Andrew's JHS,N/D,North York,M2P 1X7,0.5,0.88,,,,
310,Stephen Leacock CI,637,Agincourt,M1T 2M5,0.49,0.78,,,,
311,Subway Academy I,82,Toronto,M4J 3T2,0.1,0.09,,,,
312,Subway Academy II,111,Toronto,M5T 1L4,,,,,,
313,The Students S,128,Toronto,M6P 0A5,,,,,,
314,Thistletown CI,490,Toronto,M9W 2T4,0.24,0.64,,,,
315,Ursula Franklin Academy,508,Toronto,M6P 3J7,0.95,0.98,,,,
316,Vaughan Road Academy,,Toronto,M6C 2R1,0.29,0.75,,,,
317,Victoria Park CI,"1,287",North York,M3A 2V1,0.26,0.86,,,,
318,"<a class=""__cf_email__"" data-cfemail=""f8abb9acbdbbb8af"" href=""/cdn-cgi/l/email-protection"">[email protected]</a> A Porter CI","1,265",Toronto,M1L 1Z9,0.46,0.9,,,,
319,W L Mackenzie CI,"1,344",North York,M3H 5R2,0.47,0.92,,,,
320,West Hill CI,706,West Hill,M1E 3G3,0.17,0.6,,,,
321,West Humber CI,987,Toronto,M9V 3S3,0.36,0.89,,,,
322,Western T &amp; CS,"1,120",Toronto,M6P 3E3,0.19,0.74,,,,
323,SPES SW,N/D,Toronto,M6H 1K9,,,,,,
324,Weston CI,927,Weston,M9N 2Y9,0.14,0.43,,,,
325,Westview Centennial SS,908,North York,M3N 1W7,0.05,0.6,,,,
326,Central Etobicoke HS,140,Toronto,M9R 3H1,,,,,,
327,Wexford CI,"1,120",Scarborough,M1R 2H7,0.37,0.74,,,,
328,Windfields JHS (Secondary),N/D,North York,M2L 2V2,0.27,0.9,,,,
329,Winston Churchill CI,644,Scarborough,M1P 2P7,0.19,0.65,,,,
330,Woburn CI,949,Scarborough,M1G 3M3,0.23,0.74,,,,
331,Woodbine JHS,N/D,North York,M2J 3B6,,,,,,
332,York Humber HS,211,Cityof York,M6M 2E6,,,,,,
333,York Memorial CI,878,Toronto,M9P 1N8,0.08,0.6,,,,
334,York Mills CI,994,North York,M3B 1W6,0.88,0.95,,,,
335,Yorkdale Secondary School,386,North York,M6A 1L6,,,,,,
336,Zion Heights JHS,N/D,Toronto,M2H 1J9,,,,,,
337,South-East Year-Round Alternative Centre,95,Toronto,M1K 4C9,,,,,,
338,North-East Year-Round Alternative Centre,33,Don Mills,M2J 3B6,,,,,,
339,Ajax HS,"1,137",Ajax,L1S 1P2,0.34,0.73,,,,
340,Anderson C &amp; VI,866,Whitby,L1N 3V6,0.35,0.85,,,,
341,Brock HS,366,Cannington,L0E 1E0,0.47,0.79,,,,
342,Cartwright HS,N/D,Blackstock,L0B 1B0,,,,,,
343,Donald A. Wilson SS,"1,217",Whitby,L1P 1Y1,0.71,0.9,,,,
344,Durham Alternative SS,473,Oshawa,L1H 4H4,,,,,,
345,Dunbarton HS,"1,465",Pickering,L1V 1G2,0.42,0.84,,,,
346,Eastdale C &amp; VI,"1,023",Oshawa,L1G 6L4,0.39,0.64,,,,
